,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Метод запуска,Метод посадки,Тип двигателя,"Размах крыльев, м","Максимальная скорость полета, км/ч",Статус,Производитель,"Полезная нагрузка, кг",Навигация,Диапазон рабочих температур,"Диаметр несущего винта, м","Диагональ рамы, м"
233,Казахстан,Самолетный тип,8.5,2.0,70.0,3100.0,Пусковая установка,Парашютная система,Электрический,0.7,100.0,В производстве,Як-Алакон,,н/д,,,
234,Казахстан,Самолетный тип,3.0,,15.0,3000.0,С руки,Парашютная система,Электрический,2.0,90.0,В производстве,Як-Алакон,,н/д,,,
235,Латвия,Самолетный тип,21.5,,50.0,4100.0,Шасси,Шасси,ДВС,3.3,130.0,В производстве,UAV Factory,,н/д,,,
236,Россия,Вертолетный тип,95.0,6.0,50.0,4000.0,Вертикальный,Вертикальный,ДВС,,150.0,Снято с производства,ZALA AERO GROUP,50.0,н/д,,3.0,
237,Россия,Вертолетный тип,12.0,1.5,25.0,2500.0,Вертикальный,Вертикальный,ДВС,,50.0,Снято с производства,ZALA AERO GROUP,3.5,н/д,,1.77,
238,Россия,Самолетный тип,2.1,1.5,25.0,3600.0,Пусковая установка,Парашютная система,Электрический,0.81,130.0,В производстве,ZALA AERO GROUP,0.3,"GPS, ГЛОНАСС",−30°C..+40 °C,,
239,Россия,Самолетный тип,70.0,10.0,250.0,3000.0,Пусковая установка,Шасси,ДВС,,130.0,Снято с производства,ZALA AERO GROUP,,"GPS, ГЛОНАСС",,3.9,
240,Россия,Самолетный тип,0.79,0.5,5.0,2500.0,С руки,Парашютная система,ДВС,0.4,150.0,Снято с производства,ZALA AERO GROUP,,н/д,−30°C..+40 °C,,
241,Россия,Самолетный тип,7.5,4.0,70.0,3600.0,Пусковая установка,Парашютная система,Электрический,2.81,110.0,В производстве,ZALA AERO GROUP,1.5,"GPS, ГЛОНАСС",−30°C..+40 °C,,
242,Россия,Самолетный тип,5.5,2.0,70.0,2100.0,Пусковая установка,Парашютная система,Электрический,2.4,120.0,Снято с производства,Беспилотные системы,,"GPS, ГЛОНАСС",–40°С..+40°С,,
243,Россия,Самолетный тип,10.5,3.5,300.0,6000.0,Пусковая установка,Парашютная система,Электрический,3.0,120.0,Снято с производства,Беспилотные системы,2.5,"GPS, ГЛОНАСС",–40°С..+40°С,,
244,Россия,Самолетный тип,10.5,4.0,360.0,3600.0,Пусковая установка,Парашютная система,Электрический,3.5,120.0,В производстве,Беспилотные системы,2.5,н/д,–40°С..+50°С,,
245,Россия,Самолетный тип,4.5,4.0,360.0,3600.0,Пусковая установка,Парашютная система,Электрический,3.5,120.0,В производстве,Беспилотные системы,,"GPS, ГЛОНАСС",–40°С..+40°С,,
246,Россия,Коптерный тип,4.5,1.0,10.0,2100.0,Вертикальный,Вертикальный,Электрический,,50.0,В производстве,Беспилотные системы,1.0,"GPS, ГЛОНАСС",–40°С..+40°С,,1.4
247,Россия,Самолетный тип,2.5,2.0,120.0,3600.0,Пусковая установка,Парашютная система,Электрический,1.0,125.0,В производстве,Беспилотные системы,0.4,"GPS, ГЛОНАСС",−30°C.. +30°C,,
248,Россия,Самолетный тип,4.5,3.0,70.0,3600.0,Пусковая установка,Парашютная система,Электрический,2.5,120.0,В производстве,Беспилотные системы,,"GPS, ГЛОНАСС",−30°C.. +30°C,,
249,Россия,Коптерный тип,8.0,0.67,25.0,1000.0,Вертикальный,Вертикальный,Электрический,,60.0,Снято с производства,Беспилотные системы,1.5,н/д,–30°С..+35°С,,
250,Россия,Коптерный тип,1.5,0.4,5.0,1000.0,Вертикальный,Вертикальный,Электрический,,40.0,В производстве,Беспилотные системы,0.3,"GPS, ГЛОНАСС",−30°C.. +30°C,,
251,Россия,Самолетный тип,,,20.0,3100.0,С руки,На фюзеляж,Электрический,1.3,110.0,В производстве,Омский государственный технический университет,,н/д,Нет данных,,
252,Россия,Самолетный тип,27.0,5.0,300.0,4500.0,Пусковая установка,Парашютная система,ДВС,,170.0,В производстве,СТЦ,,н/д,,,
253,Россия,Самолетный тип,14.0,16.0,120.0,5000.0,Пусковая установка,Парашютная система,ДВС,3.1,170.0,В производстве,СТЦ,5.0,н/д,−30°C..+40 °C,,
254,Россия,Самолетный тип,7.0,3.0,100.0,7000.0,Пусковая установка,Парашютная система,ДВС,2.1,150.0,В производстве,СТЦ,1.8,н/д,−30°C..+40 °C,,
255,Россия,Самолетный тип,7.0,3.0,100.0,7000.0,Пусковая установка,Парашютная система,ДВС,2.1,150.0,Снято с производства,СТЦ,,н/д,,,
256,Россия,Самолетный тип,500.0,15.0,150.0,6000.0,Пусковая установка,"Парашютная система, Шасси",ДВС,5.63,300.0,В производстве,"КБ ""СОКОЛ""",,н/д,,,
257,Россия,Самолетный тип,500.0,15.0,2400.0,6000.0,Шасси,Шасси,ДВС,3.2,240.0,В производстве,ОКБ «Симонова»,100.0,н/д,,,
258,Россия,Вертолетный тип,1450.0,5.5,980.0,6000.0,Вертикальный,Вертикальный,ДВС,,265.0,В разработке,МВЗ им. Миля,300.0,н/д,,,
259,Россия,Коптерный тип,3.0,0.33,2.5,,Вертикальный,Вертикальный,Электрический,,30.0,В разработке,МВЗ им. Миля,,н/д,,,
260,Россия,Самолетный тип,380.0,8.0,80.0,3500.0,Шасси,Шасси,ДВС,5.9,150.0,В разработке,МАК,,н/д,–40°С..+50°С,,
261,Россия,Самолетный тип,70.0,2.0,70.0,3000.0,Пусковая установка,Парашютная система,ДВС,3.4,190.0,В производстве,"КБ ""ЛУЧ""",,н/д,,,
262,Россия,Самолетный тип,90.0,8.0,120.0,4500.0,"Пусковая установка, Шасси","Парашютная система, Шасси",ДВС,4.1,180.0,В производстве,"КБ ""ЛУЧ""",,н/д,,,
263,Россия,Самолетный тип,35.0,3.0,50.0,3000.0,Пусковая установка,Парашютная система,ДВС,2.4,190.0,В производстве,"КБ ""ЛУЧ""",,н/д,,,
264,Израиль,Самолетный тип,65.0,10.0,50.0,4575.0,Шасси,Шасси,ДВС,4.5,55.0,Снято с производства,BlueBird Aero Systems,,н/д,,,
265,Израиль,Самолетный тип,195.0,10.0,110.0,4575.0,Шасси,Шасси,ДВС,6.0,194.0,Снято с производства,Silver Arrow,,н/д,,,
266,Израиль,Самолетный тип,450.0,20.0,200.0,6100.0,Шасси,Шасси,ДВС,10.5,176.0,В производстве,Silver Arrow,,н/д,,,
267,Израиль,Самолетный тип,970.0,40.0,1500.0,9140.0,Шасси,Шасси,ДВС,15.0,220.0,В производстве,Silver Arrow,,н/д,,,
268,Израиль,Самолетный тип,1650.0,40.0,200.0,9145.0,Шасси,Шасси,ДВС,18.0,305.0,В производстве,Silver Arrow,,н/д,,,
269,Израиль,Самолетный тип,5.0,1.5,10.0,5000.0,С руки,Парашютная система,Электрический,2.74,80.0,В производстве,Silver Arrow,0.9,н/д,,,
270,Израиль,Самолетный тип,7.5,3.0,40.0,5000.0,С руки,Парашютная система,Электрический,2.9,92.0,В производстве,Silver Arrow,1.1,н/д,,,
271,Израиль,Самолетный тип,170.0,6.0,200.0,4575.0,Пусковая установка,Парашютная система,ДВС,4.2,176.0,Снято с производства,Silver Arrow,45.0,н/д,,,
272,Израиль,Самолетный тип,180.0,,300.0,6100.0,Шасси,Шасси,Электрический,6.5,180.0,В производстве,EMIT Aviation Consult,37.0,н/д,,,
273,Израиль,Самолетный тип,5.6,1.0,10.0,3400.0,Пусковая установка,Парашютная система,Электрический,2.2,83.0,В производстве,IAI,1.2,н/д,,,
274,Израиль,Самолетный тип,11.0,3.0,20.0,1000.0,Пусковая установка,На фюзеляж,ДВС,3.0,120.0,В производстве,IAI,,н/д,,,
275,Израиль,Самолетный тип,952.0,18.0,,6100.0,Шасси,Шасси,ДВС,16.61,192.0,Снято с производства,IAI,100.0,н/д,,,
276,Израиль,Самолетный тип,125.0,3.0,400.0,3000.0,Пусковая установка,На фюзеляж,ДВС,2.0,250.0,Снято с производства,IAI,,н/д,Нет данных,,
277,Израиль,Самолетный тип,1150.0,46.0,1000.0,9150.0,"Пусковая установка, Шасси",Шасси,ДВС,16.6,240.0,В производстве,IAI,,н/д,,,
278,Израиль,Самолетный тип,160.0,7.0,100.0,5200.0,Шасси,Шасси,ДВС,5.7,,Снято с производства,IAI,20.0,н/д,,,
279,Израиль,Самолетный тип,138.0,7.5,,4500.0,Шасси,Шасси,ДВС,4.0,185.0,Снято с производства,Tadiran Electronic Systems,,н/д,,,
280,Израиль,Самолетный тип,285.0,9.0,100.0,4500.0,Пусковая установка,Шасси,ДВС,5.71,220.0,Снято с производства,IAI,,н/д,,,
281,Израиль,Самолетный тип,159.0,7.0,100.0,4575.0,Шасси,"В сетку, Шасси",ДВС,4.96,176.0,Снято с производства,IAI,,н/д,,,
282,Израиль,Самолетный тип,372.0,14.0,220.0,4575.0,"Пусковая установка, Шасси",Шасси,ДВС,7.22,200.0,В производстве,IAI,,н/д,,,
283,Израиль,Самолетный тип,426.0,18.0,250.0,6100.0,"Пусковая установка, Шасси",Шасси,ДВС,8.55,200.0,В производстве,IAI,,н/д,,,
284,Израиль,Самолетный тип,150.0,5.0,100.0,4600.0,Шасси,Шасси,ДВС,6.0,120.0,Снято с производства,Rafael,,н/д,,,
285,Израиль,Самолетный тип,,5.0,185.0,4572.0,Шасси,Шасси,ДВС,5.15,176.0,Снято с производства,Pioneer UAV Inc,,н/д,,,
286,Израиль,Самолетный тип,726.0,11.0,267.0,4575.0,Шасси,Шасси,ДВС,8.9,204.0,Снято с производства,"IAI, TRW Inc Avionics and Surveillance Group",,н/д,,,
287,Израиль,Самолетный тип,10.0,3.0,2.0,4500.0,С руки,Парашютная система,Электрический,2.0,70.0,В производстве,Innocon,,н/д,,,
288,Израиль,Самолетный тип,18.0,1.5,,,Шасси,Шасси,ДВС,3.3,60.0,Снято с производства,Nefer Technology Ltd,,н/д,,,
289,Израиль,Самолетный тип,135.0,6.0,1000.0,3000.0,Пусковая установка,Парашютная система,ДВС,3.0,185.0,В производстве,"Завод ""МАВАТ""",23.0,н/д,,,
290,США,Самолетный тип,1.5,0.8,5.0,152.0,С руки,На фюзеляж,Электрический,1.02,83.0,В производстве,AeroVironment,,н/д,,,
291,США,Вертолетный тип,1036.0,,132.0,5000.0,Вертикальный,Вертикальный,Газотурбинный,,148.0,Снято с производства,Gyrodyne Company of America,512.0,н/д,,6.0,
292,США,Самолетный тип,20.0,26.0,250.0,3600.0,Шасси,Шасси,Электрический,5.18,100.0,Снято с производства,Naval Research Laboratory,2.25,н/д,,,
293,США,Самолетный тип,50.0,1.0,100.0,2438.0,Шасси,Шасси,ДВС,4.04,145.0,Снято с производства,Radioplane,,н/д,,,
294,США,Самолетный тип,47.0,3.0,150.0,3600.0,Шасси,Шасси,ДВС,3.09,110.0,Снято с производства,Raytheon,12.0,н/д,,,
295,США,Вертолетный тип,50.0,4.0,30.0,2500.0,Вертикальный,Вертикальный,ДВС,,85.0,В производстве,Rotomotion LLC,22.7,GPS,,3.0,
296,США,Самолетный тип,45.0,0.3,460.0,,Пусковая установка,Парашютная система,Газотурбинный,0.65,900.0,Снято с производства,Teledyne Ryan,,GPS,,,
297,США,Самолетный тип,560.0,0.08,,31395.0,Пусковая установка,Парашютная система,Газотурбинный,1.01,4180.0,Снято с производства,Teledyne Ryan,,н/д,,,
298,США,Самолетный тип,1134.0,1.25,966.0,15636.0,Пусковая установка,Парашютная система,Газотурбинный,3.93,933.0,Снято с производства,Ryan Aeronautical Company,454.0,GPS,,,
299,США,Вертолетный тип,499.0,,,3600.0,Вертикальный,Вертикальный,Газотурбинный,,217.0,Снято с производства,SAIC,68.0,"GPS, Инерциальная навигация",,7.0,
300,США,Вертолетный тип,140.0,3.0,77.0,2440.0,Вертикальный,Вертикальный,ДВС,,70.0,Снято с производства,Sikorsky Aircraft,23.0,н/д,,1.22,1.88
301,США,Вертолетный тип,113.5,5.0,185.0,2500.0,Вертикальный,Вертикальный,ДВС,,230.0,Снято с производства,Sikorsky Aircraft,23.0,н/д,,,
302,США,Коптерный тип,3.4,0.8,15.0,3000.0,Вертикальный,Вертикальный,Электрический,,65.0,Снято с производства,TiaLinx Inc.,,н/д,,,
303,Россия,Самолетный тип,,1.0,500.0,10000.0,Пусковая установка,Парашютная система,Газотурбинный,,,Снято с производства,НПО им. С.А. Лавочкина,,н/д,,,
304,Россия,Самолетный тип,75.0,0.5,50.0,3000.0,Пусковая установка,Парашютная система,Газотурбинный,,300.0,В производстве,Эникс,,н/д,−20°C..+50 °C,5.0,
305,Россия,Самолетный тип,70.0,0.5,,3000.0,Пусковая установка,Парашютная система,Газотурбинный,2.4,400.0,Снято с производства,Эникс,,н/д,,2.4,
306,Россия,Самолетный тип,75.0,0.5,,3000.0,Пусковая установка,Парашютная система,Газотурбинный,,300.0,В производстве,Эникс,,н/д,–40°С..+40°С,2.9,
307,Россия,Самолетный тип,25.0,0.3,,3000.0,Шасси,Шасси,Газотурбинный,2.2,220.0,Снято с производства,Эникс,4.0,н/д,,,
308,Россия,Самолетный тип,130.0,0.4,,3000.0,Пусковая установка,Парашютная система,Газотурбинный,,580.0,Снято с производства,Эникс,,н/д,,,
309,Россия,Самолетный тип,12.0,2.0,,5000.0,Пусковая установка,Парашютная система,Электрический,,120.0,Снято с производства,Эникс,,н/д,−20°С..+40°С,,
310,Россия,Самолетный тип,2.8,1.15,,3000.0,Пусковая установка,Парашютная система,Электрический,,105.0,Снято с производства,Эникс,,н/д,−20°С..+40°С,1.47,
311,Россия,Самолетный тип,12.0,3.0,40.0,3000.0,Пусковая установка,Парашютная система,Электрический,,190.0,Снято с производства,Эникс,,н/д,,,
312,Россия,Самолетный тип,3.8,1.5,100.0,3000.0,Пусковая установка,Парашютная система,Электрический,1.4,105.0,Снято с производства,Эникс,,н/д,−30°C..+40 °C,1.47,
313,Россия,Самолетный тип,,0.5,70.0,3000.0,Пусковая установка,Парашютная система,ДВС,2.52,150.0,Снято с производства,Эникс,,н/д,,,
314,Россия,Самолетный тип,,2.0,,3000.0,Пусковая установка,Парашютная система,ДВС,2.68,180.0,Снято с производства,Эникс,,н/д,,,
315,Россия,Самолетный тип,75.0,6.0,,3000.0,Пусковая установка,Парашютная система,ДВС,2.9,240.0,Снято с производства,Эникс,12.0,н/д,,,
316,Россия,Самолетный тип,4.2,1.5,50.0,5000.0,С руки,Парашютная система,Электрический,1.42,130.0,В производстве,Эникс,0.5,"GPS, ГЛОНАСС",−20°С..+40°С,,
317,Россия,Самолетный тип,15.5,2.5,60.0,4000.0,Пусковая установка,Парашютная система,Электрический,2.2,135.0,В производстве,Эникс,,"GPS, ГЛОНАСС",−20°С..+40°С,,
318,Россия,Самолетный тип,138.0,2.0,60.0,3000.0,Пусковая установка,Парашютная система,ДВС,3.3,160.0,Снято с производства,НИИ “Кулон”,,н/д,−30°C.. +50°C,,
319,Россия,Вертолетный тип,90.0,1.2,130.0,4000.0,Вертикальный,Вертикальный,Газотурбинный,,150.0,В производстве,Kvand,42.0,н/д,,3.5,
320,Россия,Самолетный тип,6.95,1.0,40.0,3000.0,Пусковая установка,Шасси,Электрический,2.23,130.0,Снято с производства,ZALA AERO GROUP,,н/д,,,
321,Россия,Самолетный тип,5.5,2.0,25.0,3600.0,Пусковая установка,Парашютная система,Электрический,1.6,120.0,В производстве,ZALA AERO GROUP,1.0,"GPS, ГЛОНАСС",−30°C..+40 °C,,
322,Россия,Самолетный тип,200.0,8.0,120.0,5000.0,Шасси,Шасси,ДВС,,200.0,В производстве,ZALA AERO GROUP,50.0,"GPS, ГЛОНАСС",−30°C..+40 °C,,
323,Россия,Коптерный тип,1.5,0.5,2.0,1000.0,Вертикальный,Вертикальный,Электрический,,50.0,В производстве,ZALA AERO GROUP,0.3,"GPS, ГЛОНАСС",−30°C..+40 °C,,
324,Россия,Вертолетный тип,35.0,3.0,50.0,3000.0,Вертикальный,Вертикальный,ДВС,,90.0,Снято с производства,ZALA AERO GROUP,13.0,"GPS, ГЛОНАСС",−20°С..+40°С,2.15,
325,Италия,Самолетный тип,1.3,0.5,,,Пусковая установка,Парашютная система,Электрический,1.65,108.0,В производстве,Oto Melara,,н/д,,,
326,США,Самолетный тип,65.0,4.3,50.0,1524.0,Шасси,Шасси,ДВС,3.7,185.0,В производстве,Freewing Aerial Robotics,11.0,н/д,,,
327,Россия,Самолетный тип,29.5,7.0,150.0,3600.0,Пусковая установка,Парашютная система,Электрический,2.81,110.0,В производстве,ZALA AERO GROUP,5.0,"GPS, ГЛОНАСС",−30°C..+40 °C,,
328,Россия,Самолетный тип,10.5,4.0,50.0,3600.0,Пусковая установка,Парашютная система,Электрический,2.81,110.0,В производстве,ZALA AERO GROUP,1.5,"GPS, ГЛОНАСС",−30°C..+40 °C,,
329,Россия,Самолетный тип,6.5,2.5,50.0,3600.0,Пусковая установка,Парашютная система,Электрический,1.81,110.0,В производстве,ZALA AERO GROUP,1.0,"GPS, ГЛОНАСС",−30°C..+40 °C,,
330,Россия,Самолетный тип,16.0,8.0,50.0,3000.0,Пусковая установка,Парашютная система,ДВС,1.68,200.0,В производстве,ZALA AERO GROUP,3.0,"GPS, ГЛОНАСС",−30°C..+40 °C,,
331,Россия,Вертолетный тип,90.0,2.0,50.0,3000.0,Вертикальный,Вертикальный,ДВС,,60.0,В производстве,ZALA AERO GROUP,25.0,"GPS, ГЛОНАСС",−30°C..+40 °C,3.12,
332,Россия,Самолетный тип,2.5,1.33,25.0,3600.0,Пусковая установка,Парашютная система,Электрический,0.81,120.0,В производстве,ZALA AERO GROUP,0.3,"GPS, ГЛОНАСС",−30°C..+40 °C,,
333,Россия,Коптерный тип,8.0,0.58,5.0,1000.0,Вертикальный,Вертикальный,Электрический,,,В производстве,ZALA AERO GROUP,2.0,"GPS, ГЛОНАСС",−30°C..+40 °C,,
334,Россия,Коптерный тип,1.5,0.66,2.0,1000.0,Вертикальный,Вертикальный,Электрический,,40.0,В производстве,ZALA AERO GROUP,0.3,"GPS, ГЛОНАСС",−30°C..+40 °C,,0.78
335,Россия,Самолетный тип,10.5,3.5,50.0,3600.0,Пусковая установка,Парашютная система,Электрический,2.81,110.0,В производстве,ZALA AERO GROUP,1.5,"GPS, ГЛОНАСС",−30°C..+40 °C,,
336,Россия,Самолетный тип,6.5,2.5,50.0,3600.0,Пусковая установка,Парашютная система,Электрический,18.1,100.0,В производстве,ZALA AERO GROUP,1.0,"GPS, ГЛОНАСС",−30°C..+40 °C,,
337,Россия,Самолетный тип,5.5,1.5,30.0,3600.0,Пусковая установка,Парашютная система,Электрический,16.1,100.0,В производстве,ZALA AERO GROUP,1.0,"GPS, ГЛОНАСС",−30°C..+40 °C,,
338,Россия,Самолетный тип,2.5,1.0,1.2,200.0,Пусковая установка,Парашютная система,Электрический,0.8,110.0,В производстве,Эникс,,н/д,,,
339,Россия,Самолетный тип,3.5,1.0,10.0,1500.0,Пусковая установка,Парашютная система,Электрический,1.2,100.0,В производстве,Аэрокон,,н/д,,,
340,Россия,Самолетный тип,14.0,10.0,400.0,3000.0,Пусковая установка,"Парашютная система, Шасси",ДВС,4.0,100.0,В разработке,Аэрокон,1.0,н/д,,,
341,Франция,Самолетный тип,1250.0,24.0,1000.0,8000.0,Шасси,Шасси,ДВС,16.6,205.0,В производстве,"EADS, IAI",593.0,н/д,Нет данных,,
342,Россия,Самолетный тип,5000.0,48.0,8000.0,7100.0,Шасси,Шасси,Газотурбинный,28.5,250.0,В разработке,НПО «ОКБ им. Симонова»,,н/д,,,
343,Россия,Самолетный тип,25000.0,,5000.0,10500.0,Шасси,Шасси,Газотурбинный,19.0,1400.0,В разработке,ОКБ «Сухой»,,Инерциальная навигация,,,
344,Россия,Коптерный тип,20.0,0.33,5.0,300.0,Вертикальный,Вертикальный,Электрический,,40.0,В производстве,"НПЦ ""НЕЛК""",10.0,GPS,−25°С..+40°С,,1.0
345,Россия,Самолетный тип,5.0,2.5,30.0,3000.0,Пусковая установка,Парашютная система,Электрический,1.2,80.0,В производстве,Автономные аэрокосмические системы — ГеоСервис,1.75,"GPS, ГЛОНАСС",–35°С..+45°С,,
346,Россия,Коптерный тип,5.0,0.83,15.0,2100.0,Вертикальный,Вертикальный,Электрический,,60.0,В производстве,DanFuture,,н/д,,,
347,Россия,Коптерный тип,6.0,0.35,20.0,2100.0,Вертикальный,Вертикальный,Электрический,,80.0,В производстве,DanFuture,,н/д,,,
348,Россия,Самолетный тип,30.0,12.0,500.0,3000.0,Пусковая установка,Парашютная система,ДВС,3.6,150.0,В производстве,Aerob,12.0,"GPS, ГЛОНАСС",–40°С..+50°С,,
349,Россия,Самолетный тип,8.5,3.0,210.0,4000.0,Пусковая установка,Парашютная система,Электрический,2.22,130.0,В производстве,Геоскан,1.5,н/д,−20°С..+40°С,,
350,Россия,Коптерный тип,9.3,1.0,24.0,500.0,Вертикальный,Вертикальный,Электрический,,50.0,В производстве,Геоскан,2.5,н/д,−20°С..+40°С,,
351,Россия,Самолетный тип,3.1,1.0,70.0,4000.0,Пусковая установка,Парашютная система,Электрический,1.38,130.0,В производстве,Геоскан,0.8,"Beidou, GPS, ГЛОНАСС",−20°С..+40°С,,
352,Россия,Самолетный тип,120.0,7.0,900.0,3000.0,Шасси,Шасси,ДВС,5.2,210.0,Снято с производства,Аэрокон,20.0,н/д,,,
353,Россия,Коптерный тип,7.3,0.5,5.0,3000.0,Вертикальный,Вертикальный,Электрический,,45.0,Снято с производства,Бласкор Беспилотные летательные аппараты,2.0,н/д,,,
354,Россия,Самолетный тип,2.4,1.15,15.0,3500.0,"Пусковая установка, С руки",Парашютная система,Электрический,0.82,75.0,В производстве,Ижмаш – беспилотные системы,,н/д,−30°C..+40 °C,,
355,Россия,Самолетный тип,4.0,1.0,15.0,4100.0,"Пусковая установка, С руки",Парашютная система,Электрический,2.0,85.0,В производстве,Ижмаш – беспилотные системы,,н/д,−30°C..+40 °C,,
356,Россия,Самолетный тип,7.0,2.0,40.0,4000.0,Пусковая установка,Парашютная система,ДВС,2.0,120.0,В производстве,Ижмаш – беспилотные системы,,н/д,,,
357,Россия,Самолетный тип,30.0,6.0,100.0,4000.0,Пусковая установка,Парашютная система,ДВС,3.2,140.0,В производстве,Ижмаш – беспилотные системы,3.0,н/д,−30°C..+40 °C,,
358,Россия,Самолетный тип,7.0,1.0,40.0,5100.0,"Пусковая установка, С руки",Вертикальный,Электрический,,120.0,В разработке,Ижмаш – беспилотные системы,1.0,н/д,,,
359,Россия,Коптерный тип,50.0,20.0,40.0,3100.0,Вертикальный,Вертикальный,Электрический,,60.0,В производстве,Ижмаш – беспилотные системы,10.0,н/д,,,
360,Россия,Самолетный тип,25.0,2.0,40.0,4000.0,Пусковая установка,Парашютная система,Электрический,2.0,120.0,В производстве,Ижмаш – беспилотные системы,5.0,н/д,−30°C..+40 °C,,
361,Россия,Самолетный тип,5.0,1.0,25.0,3000.0,С руки,Парашютная система,Электрический,1.6,100.0,В производстве,Истра,1.0,н/д,,,
362,Россия,Самолетный тип,70.0,1.0,60.0,4000.0,Пусковая установка,Парашютная система,Электрический,,200.0,В производстве,Истра,15.0,н/д,,,
363,Россия,Самолетный тип,15.0,2.5,15.0,3100.0,Пусковая установка,Парашютная система,Электрический,2.8,150.0,В производстве,Истра,,н/д,,,
364,Россия,Самолетный тип,6.0,2.5,25.0,3100.0,Пусковая установка,Парашютная система,Электрический,1.1,120.0,Снято с производства,Плаз,,н/д,,,
365,Россия,Самолетный тип,4.5,2.0,25.0,2100.0,Пусковая установка,Парашютная система,Электрический,1.0,100.0,Снято с производства,Плаз,,н/д,,,
366,Россия,Коптерный тип,2.5,0.67,10.0,500.0,Вертикальный,Вертикальный,Электрический,,55.0,Снято с производства,Плаз,,н/д,,,
367,Россия,Самолетный тип,5.5,3.0,90.0,3100.0,"Пусковая установка, С руки",Парашютная система,Электрический,2.3,120.0,В производстве,Плаз,,н/д,,,
368,Россия,Коптерный тип,7.5,1.0,15.0,500.0,Вертикальный,Вертикальный,Электрический,,45.0,В производстве,Плаз,2.5,н/д,,,
369,Россия,Самолетный тип,11.0,8.0,40.0,5000.0,Пусковая установка,Парашютная система,ДВС,,150.0,В производстве,Аэрокон,1.0,н/д,,,
370,Россия,Самолетный тип,2.4,1.5,45.0,,Пусковая установка,Парашютная система,Электрический,0.64,100.0,В производстве,Аэрокон,0.4,н/д,,,
371,Россия,Самолетный тип,20.0,11.0,150.0,5000.0,Пусковая установка,Парашютная система,ДВС,3.5,110.0,В производстве,Аэрокон,,н/д,,,
372,Россия,Самолетный тип,60.0,36.0,500.0,5000.0,Пусковая установка,Парашютная система,ДВС,5.5,120.0,В производстве,Аэрокон,15.0,н/д,,,
373,Россия,Самолетный тип,2000.0,35.0,750.0,6100.0,Пусковая установка,Парашютная система,ДВС,,150.0,В разработке,РТИ Аэрокосмические системы,,н/д,,,
374,Россия,Коптерный тип,7.0,0.75,15.0,1000.0,Вертикальный,Вертикальный,Электрический,,50.0,В производстве,РТИ Аэрокосмические системы,1.0,н/д,–35°С..+50°С,,
375,Россия,Самолетный тип,1500.0,35.0,4000.0,8000.0,Пусковая установка,Парашютная система,ДВС,20.35,300.0,В разработке,РТИ Аэрокосмические системы,230.0,GPS,,,
376,Россия,Самолетный тип,1500.0,,1500.0,8000.0,Шасси,Шасси,ДВС,18.0,250.0,Снято с производства,РТИ Аэрокосмические системы,,н/д,,,
377,Россия,Вертолетный тип,20.0,,20.0,2100.0,Вертикальный,Вертикальный,ДВС,,85.0,В производстве,КБ «Искатель»,15.0,н/д,Нет данных,2.12,
378,Россия,Вертолетный тип,40.0,2.5,15.0,2500.0,Вертикальный,Вертикальный,ДВС,,150.0,В производстве,Московский авиационный институт,,GPS,Нет данных,2.2,
379,Россия,Коптерный тип,2.8,0.5,10.0,300.0,Вертикальный,Вертикальный,Электрический,,50.0,В разработке,"НПЦ ""НЕЛК""",0.8,н/д,−25°С..+50°С,,
380,Россия,Коптерный тип,7.0,0.66,10.0,500.0,Вертикальный,Вертикальный,Электрический,,50.0,Снято с производства,"НПЦ ""НЕЛК""",2.0,"GPS, ГЛОНАСС",−25°С..+50°С,,0.86
381,Россия,Коптерный тип,12.0,,10.0,2100.0,Вертикальный,Вертикальный,Электрический,,60.0,В разработке,"НПЦ ""НЕЛК""",3.0,н/д,Нет данных,,
382,Россия,Коптерный тип,5.0,,5.0,1000.0,Вертикальный,Вертикальный,Электрический,,54.0,Снято с производства,"НПЦ ""НЕЛК""",2.0,н/д,Нет данных,,1.05
383,Россия,Самолетный тип,22.2,,80.0,3000.0,Пусковая установка,Парашютная система,ДВС,3.12,170.0,В производстве,АФМ-Сервис,5.0,н/д,,,
384,Россия,Самолетный тип,130.0,,250.0,7000.0,Шасси,Шасси,ДВС,9.1,200.0,В производстве,РТИ Аэрокосмические системы,,н/д,,,
385,Россия,Самолетный тип,75.0,,700.0,4100.0,Пусковая установка,Парашютная система,ДВС,4.1,150.0,В разработке,АэроРоботикс,15.0,"GPS, ГЛОНАСС",Нет данных,,
386,Россия,Коптерный тип,20.0,3.0,60.0,500.0,Вертикальный,Вертикальный,ДВС,,70.0,В производстве,"НПЦ ""НЕЛК""",,"GPS, ГЛОНАСС",−25°С..+40°С,,1.25
387,Россия,Коптерный тип,12.0,1.0,5.0,1000.0,Вертикальный,Вертикальный,Электрический,,70.0,В производстве,"НПЦ ""НЕЛК""",,GPS,−25°С..+40°С,,1.05
388,Россия,Коптерный тип,9.0,0.66,5.0,1000.0,Вертикальный,Вертикальный,Электрический,,50.0,В производстве,"НПЦ ""НЕЛК""",,GPS,−25°С..+40°С,,0.81
389,Германия,Коптерный тип,1.1,0.5,6.0,4000.0,Вертикальный,Вертикальный,Электрический,,28.0,В производстве,Microdrones,0.25,"GPS, ГЛОНАСС",−20°C..+50 °C,,0.91
