,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Тип двигателя,"Размах крыльев, м",Статус,Производитель,"Полезная нагрузка, кг",Диапазон рабочих температур,"Макс. скорость, км/ч"
362,Россия,Самолетный тип,6.0,2.5,25.0,3100.0,Электрический,1.1,Снято с производства,Плаз,,н/д,120.0
363,Россия,Самолетный тип,4.5,2.0,25.0,2100.0,Электрический,1.0,Снято с производства,Плаз,,н/д,100.0
364,Россия,Коптерный тип,2.5,0.67,10.0,500.0,Электрический,,Снято с производства,Плаз,,н/д,55.0
365,Россия,Самолетный тип,5.5,3.0,90.0,3100.0,Электрический,2.3,В производстве,Плаз,,н/д,120.0
366,Россия,Коптерный тип,7.5,1.0,15.0,500.0,Электрический,,В производстве,Плаз,2.5,н/д,45.0
367,Россия,Самолетный тип,11.0,8.0,40.0,5000.0,ДВС,,В производстве,Аэрокон,1.0,н/д,150.0
368,Россия,Самолетный тип,2.4,1.5,45.0,,Электрический,0.64,В производстве,Аэрокон,0.4,н/д,100.0
369,Россия,Самолетный тип,20.0,11.0,150.0,5000.0,ДВС,3.5,В производстве,Аэрокон,,н/д,110.0
370,Россия,Самолетный тип,60.0,36.0,500.0,5000.0,ДВС,5.5,В производстве,Аэрокон,15.0,н/д,120.0
371,Россия,Самолетный тип,2000.0,35.0,750.0,6100.0,ДВС,,В разработке,РТИ Аэрокосмические системы,,н/д,150.0
372,Россия,Коптерный тип,7.0,0.75,15.0,1000.0,Электрический,,В производстве,РТИ Аэрокосмические системы,1.0,–35°С..+50°С,50.0
373,Россия,Самолетный тип,1500.0,35.0,4000.0,8000.0,ДВС,20.35,В разработке,РТИ Аэрокосмические системы,230.0,н/д,300.0
374,Россия,Самолетный тип,1500.0,,1500.0,8000.0,ДВС,18.0,Снято с производства,РТИ Аэрокосмические системы,,н/д,250.0
375,Россия,Вертолетный тип,20.0,,20.0,2100.0,ДВС,,В производстве,КБ «Искатель»,15.0,н/д,85.0
376,Россия,Вертолетный тип,40.0,2.5,15.0,2500.0,ДВС,,В производстве,Московский авиационный институт,,н/д,150.0
377,Россия,Коптерный тип,2.8,0.5,10.0,300.0,Электрический,,В разработке,"НПЦ ""НЕЛК""",0.8,−25°С..+50°С,50.0
378,Россия,Коптерный тип,7.0,0.66,10.0,500.0,Электрический,,Снято с производства,"НПЦ ""НЕЛК""",2.0,−25°С..+50°С,50.0
379,Россия,Коптерный тип,12.0,,10.0,2100.0,Электрический,,В разработке,"НПЦ ""НЕЛК""",3.0,н/д,60.0
380,Россия,Коптерный тип,5.0,,5.0,1000.0,Электрический,,Снято с производства,"НПЦ ""НЕЛК""",2.0,н/д,54.0
381,Россия,Самолетный тип,22.2,,80.0,3000.0,ДВС,3.12,В производстве,АФМ-Сервис,5.0,н/д,170.0
382,Россия,Самолетный тип,130.0,,250.0,7000.0,ДВС,9.1,В производстве,РТИ Аэрокосмические системы,,н/д,200.0
383,Россия,Самолетный тип,75.0,,700.0,4100.0,ДВС,4.1,В разработке,АэроРоботикс,15.0,н/д,150.0
384,Россия,Коптерный тип,20.0,3.0,60.0,500.0,ДВС,,В производстве,"НПЦ ""НЕЛК""",,−25°С..+40°С,70.0
385,Россия,Коптерный тип,12.0,1.0,5.0,1000.0,Электрический,,В производстве,"НПЦ ""НЕЛК""",,−25°С..+40°С,70.0
386,Россия,Коптерный тип,9.0,0.66,5.0,1000.0,Электрический,,В производстве,"НПЦ ""НЕЛК""",,−25°С..+40°С,50.0
387,Германия,Коптерный тип,1.1,0.5,6.0,4000.0,Электрический,,В производстве,Microdrones,0.25,−20°C..+50 °C,28.0
388,Германия,Коптерный тип,6.0,0.75,20.0,4000.0,Электрический,,В производстве,Microdrones,1.2,–10°С..+50°С,43.0
389,Украина,Самолетный тип,2.5,2.0,50.0,2100.0,Электрический,1.6,В производстве,НПП «Атлон Авиа»,,н/д,130.0
390,Украина,Самолетный тип,200.0,8.0,1050.0,5000.0,ДВС,6.7,В разработке,ГП «Антонов»,50.0,н/д,150.0
391,Украина,Самолетный тип,5.0,0.5,40.0,3100.0,Электрический,1.0,В производстве,Национальный авиационный университет Украины,2.0,н/д,80.0
392,Украина,Самолетный тип,25.0,4.0,150.0,4000.0,ДВС,,В производстве,Укртехно-Атом,,–40°С..+50°С,150.0
393,Украина,Самолетный тип,150.0,5.0,1500.0,4100.0,ДВС,5.16,В производстве,"НПЦБА ""Вираж"" НАУ",55.0,н/д,190.0
394,Украина,Самолетный тип,4.95,2.0,20.0,3100.0,Электрический,,В производстве,"НПЦБА ""Вираж"" НАУ",0.8,н/д,130.0
395,Украина,Самолетный тип,5.0,2.0,20.0,4100.0,Электрический,1.5,В производстве,Государственным Киевским конструкторским бюро «Луч»,1.0,н/д,150.0
396,Украина,Самолетный тип,5.0,1.5,35.0,2100.0,Электрический,1.6,В производстве,Укроборонпромом,,н/д,80.0
397,Украина,Самолетный тип,50000.0,,4500.0,300000.0,Газотурбинный,14.0,В разработке,Национальное аэрокосмическое агентство,300.0,н/д,1200.0
398,Украина,Самолетный тип,8.0,1.5,40.0,4000.0,Электрический,1.3,В производстве,Авиация Армия SOS,,н/д,120.0
399,Украина,Коптерный тип,4.5,0.67,10.0,300.0,Электрический,,В производстве,Drone UA,,н/д,40.0
400,Украина,Коптерный тип,2.0,0.75,15.0,2000.0,Электрический,0.72,В производстве,Smic Aerospace,,н/д,75.0
401,Украина,Самолетный тип,240.0,,500.0,5000.0,ДВС,6.8,В производстве,Юмик Аэроспейс,40.0,н/д,120.0
402,Украина,Самолетный тип,3.0,1.4,15.0,1200.0,Электрический,1.9,В производстве,Drone UA,,н/д,80.0
403,Украина,Самолетный тип,33.0,5.0,50.0,2000.0,ДВС,3.0,В производстве,UkrSpecSystems,8.0,н/д,140.0
404,Украина,Самолетный тип,35.0,4.0,100.0,5000.0,ДВС,1.4,В производстве,UAvia,10.0,н/д,400.0
405,Украина,Самолетный тип,4.0,1.0,15.0,2000.0,Электрический,0.98,В производстве,Spai Tech,,н/д,100.0
406,Украина,Самолетный тип,4.8,1.0,20.0,3100.0,Электрический,1.66,В производстве,Политек-Аэро,1.5,н/д,90.0
407,Украина,Самолетный тип,20.0,10.0,500.0,4000.0,ДВС,3.6,В производстве,Smic Aerospace,1.0,н/д,150.0
408,Украина,Коптерный тип,10.0,0.83,6.0,1000.0,Электрический,,В производстве,Smic Aerospace,5.0,н/д,60.0
409,Украина,Самолетный тип,4.0,0.5,10.0,2100.0,Электрический,1.4,В производстве,"WB Electronics, Чезара",,н/д,150.0
410,Белоруссия,Самолетный тип,210.0,8.0,290.0,4200.0,ДВС,2.8,В производстве,Физико-технический университет Республики Беларусь,,н/д,250.0
411,Белоруссия,Самолетный тип,250.0,10.0,300.0,5000.0,ДВС,2.8,В производстве,НАН Республики Белорусь,,н/д,250.0
412,Белоруссия,Вертолетный тип,124.0,1.5,60.0,750.0,ДВС,,Снято с производства,Independent Development Laboratory,,н/д,60.0
413,Белоруссия,Вертолетный тип,150.0,6.0,420.0,3000.0,ДВС,,Снято с производства,Independent Development Laboratory,,н/д,90.0
414,Белоруссия,Вертолетный тип,32.0,0.83,20.0,1800.0,Газотурбинный,,Снято с производства,Independent Development Laboratory,,н/д,
415,Белоруссия,Вертолетный тип,125.0,1.5,50.0,1500.0,ДВС,,В производстве,Independent Development Laboratory,,н/д,70.0
416,Белоруссия,Коптерный тип,12.0,0.67,20.0,2100.0,Электрический,,Снято с производства,Independent Development Laboratory,,–15°С..+55°С,60.0
417,Белоруссия,Самолетный тип,155.0,5.0,500.0,9000.0,Газотурбинный,2.98,Снято с производства,Indela,,н/д,780.0
418,Вьетнам,Самолетный тип,26.0,,50.0,4500.0,ДВС,3.3,В производстве,Viettel Corporation,,н/д,150.0
419,Австрия,Коптерный тип,5.0,0.58,10.0,1000.0,Электрический,,В производстве,Eye.Aero,,н/д,45.0
420,Алжир,Самолетный тип,50.0,,240.0,3500.0,ДВС,3.62,В производстве,Центр научно-исследовательских технологий Алжира,,н/д,150.0
421,Алжир,Самолетный тип,70.0,36.0,720.0,7000.0,ДВС,2.5,В производстве,Star Aviation,,н/д,175.0
422,Бельгия,Коптерный тип,2.8,0.67,2.5,250.0,Электрический,,Снято с производства,Altigator,,н/д,36.0
423,Бельгия,Коптерный тип,3.4,0.25,1.0,320.0,Электрический,,Снято с производства,Altigator,2.0,н/д,20.0
424,Бельгия,Коптерный тип,2.5,0.33,3.5,3350.0,Электрический,,В производстве,OnyxStar,,н/д,20.0
425,Бельгия,Коптерный тип,6.0,0.62,1.0,400.0,Электрический,,В производстве,OnyxStar,,н/д,15.0
426,Бельгия,Коптерный тип,23.0,0.5,2.0,900.0,Электрический,,В производстве,OnyxStar,,н/д,35.0
427,Бельгия,Самолетный тип,2.2,0.75,53.0,2500.0,Электрический,1.0,В производстве,Gatewing,,н/д,95.0
428,Бельгия,Самолетный тип,2.5,0.83,60.0,5000.0,Электрический,1.0,В производстве,Trimble Navigation Limited,,–5°С..+35°С,100.0
429,Бельгия,Коптерный тип,5.0,0.33,5.0,2100.0,Электрический,,В производстве,Trimble Navigation Limited,2.3,н/д,50.0
430,Латвия,Самолетный тип,22.5,20.0,100.0,4100.0,ДВС,3.3,В производстве,UAV Factory,,н/д,150.0
431,Латвия,Самолетный тип,21.5,2.0,30.0,3500.0,Электрический,3.3,В производстве,UAV Factory,,н/д,130.0
432,Латвия,Коптерный тип,16.0,2.0,2.5,250.0,Электрический,,В производстве,MMS Drones,4.0,н/д,60.0
433,Венгрия,Самолетный тип,4.5,2.0,15.0,3100.0,Электрический,3.34,В производстве,Hi Aero Kft,,н/д,148.0
434,Венгрия,Коптерный тип,5.2,0.5,10.0,4100.0,Электрический,,В производстве,Interspect,,н/д,40.0
435,Грузия,Самолетный тип,9.0,,150.0,3000.0,ДВС,1.6,Снято с производства,Unmanned Systems,,н/д,160.0
436,Норвегия,Самолетный тип,150.0,,150.0,4100.0,ДВС,7.0,Снято с производства,Robot Aviation,,н/д,150.0
437,Россия,Самолетный тип,5.1,1.5,97.0,5000.0,Электрический,2.1,В производстве,Совзонд,0.9,−20°С..+40°С,90.0
438,Россия,Самолетный тип,5.4,3.0,150.0,5000.0,Электрический,2.1,В производстве,Совзонд,1.2,−20°С..+40°С,90.0
439,Россия,Самолетный тип,3.1,1.67,70.0,2000.0,Электрический,1.28,В производстве,Совзонд,0.7,−20°С..+40°С,90.0
440,Россия,Самолетный тип,1.45,0.83,70.0,5000.0,Электрический,1.2,В производстве,Совзонд,0.25,−20°С..+40°С,90.0
441,Россия,Коптерный тип,16.5,0.92,45.0,2000.0,Электрический,,В производстве,Совзонд,10.0,−20°С..+40°С,54.0
442,Россия,Коптерный тип,10.9,0.67,30.0,2000.0,Электрический,,В производстве,Совзонд,5.0,−20°С..+40°С,54.0
443,Россия,Коптерный тип,3.3,1.0,45.0,500.0,Электрический,,В производстве,Совзонд,0.6,−20°С..+40°С,54.0
444,Россия,Коптерный тип,2.6,0.63,30.0,500.0,Электрический,,В производстве,Совзонд,0.4,−20°С..+40°С,54.0
445,Россия,Коптерный тип,39.2,0.3,,35.0,Электрический,,В производстве,Совзонд,26.0,0°С..+50°С,22.0
446,Россия,Самолетный тип,8.5,3.0,210.0,4000.0,Электрический,2.22,В производстве,Геоскан,1.5,−20°С..+40°С,130.0
447,Россия,Самолетный тип,8.5,3.0,210.0,4000.0,Электрический,2.22,В производстве,Геоскан,1.5,−20°С..+40°С,130.0
448,Россия,Самолетный тип,8.5,3.0,210.0,4000.0,Электрический,2.22,В производстве,Геоскан,1.5,−20°С..+40°С,130.0
449,Россия,Коптерный тип,9.3,1.0,24.0,500.0,Электрический,,В производстве,Геоскан,2.5,−20°С..+40°С,50.0
450,Россия,Коптерный тип,,1.0,22.0,500.0,Электрический,,В производстве,Геоскан,,−20°С..+40°С,50.0
451,Россия,Коптерный тип,9.3,1.0,24.0,500.0,Электрический,,В производстве,Геоскан,2.5,−20°С..+40°С,50.0
452,Россия,Коптерный тип,,72.0,,100.0,Электрический,,В производстве,Геоскан,2.0,−20°С..+40°С,
453,Россия,Самолетный тип,3.1,1.0,70.0,4000.0,Электрический,1.38,В производстве,Геоскан,,−20°С..+40°С,130.0
454,США,Самолетный тип,149.0,5.0,125.0,4570.0,Газотурбинный,3.89,В производстве,AAI Corporation,,н/д,227.0
455,Норвегия,Вертолетный тип,0.011,0.42,2.5,250.0,Электрический,,В производстве,Prox Dynamics,,н/д,18.0
456,Канада,Коптерный тип,2.4,0.83,5.0,4500.0,Электрический,,В производстве,Aeryon Labs,0.7,−30°C.. +50°C,95.0
457,Норвегия,Самолетный тип,20.0,4.0,500.0,5000.0,ДВС,3.8,В производстве,NORUT,7.0,–40°С..+40°С,140.0
458,Канада,Самолетный тип,144.0,1.4,150.0,7620.0,Газотурбинный,2.55,В производстве,Cassidian,,н/д,1200.0
459,Норвегия,Коптерный тип,75.0,0.67,15.0,1000.0,Электрический,,В производстве,Griff Aviation,235.0,н/д,60.0
460,Австралия,Самолетный тип,260.0,,500.0,6100.0,Газотурбинный,1.54,Снято с производства,Government Aircraft Factory,,н/д,685.0
461,Австралия,Самолетный тип,7.0,,20.0,2000.0,Электрический,1.2,В производстве,Advanced VTOL Technologies,,н/д,75.0
462,Япония,Вертолетный тип,88.0,1.0,35.0,2100.0,ДВС,,В производстве,Yamaha Motor Company,,н/д,120.0
463,Япония,Вертолетный тип,794.0,2.5,250.0,3500.0,ДВС,,В производстве,Kawada Industries Inc,294.0,н/д,120.0
464,Япония,Коптерный тип,38.8,0.5,15.0,2100.0,Электрический,,В производстве,Prodrone,20.0,н/д,60.0
465,Австралия,Коптерный тип,5.03,0.2,2.0,150.0,Электрический,,В производстве,Coptercam Pty,,н/д,20.0
466,Япония,Самолетный тип,150.0,,1000.0,12000.0,Газотурбинный,2.5,В разработке,JAXA,,н/д,2000.0
467,Австралия,Коптерный тип,4.2,0.25,5.0,200.0,Электрический,,В производстве,Cyber Technology,0.5,–10°С..+50°С,25.0
468,Австралия,Самолетный тип,60.0,,160.0,4500.0,ДВС,4.5,В производстве,Cyber Technology,,н/д,120.0
469,Австралия,Самолетный тип,72.0,0.67,100.0,5100.0,ДВС,3.0,В производстве,Cyber Technology,,н/д,640.0
470,Австралия,Самолетный тип,10.0,,10.0,4500.0,Электрический,2.5,Снято с производства,Codarra Advanced Systems,,н/д,90.0
471,Япония,Самолетный тип,155.0,,50.0,4100.0,ДВС,3.51,Снято с производства,Kawasaki Aerospace Company,,н/д,350.0
472,Австралия,Коптерный тип,6.0,0.33,5.0,400.0,Электрический,,В производстве,Entecho,0.0,н/д,25.0
473,Япония,Самолетный тип,3700.0,72.0,10000.0,9100.0,Электрический,46.0,В производстве,JAXA,,н/д,350.0
474,Австралия,Самолетный тип,80.0,4.0,400.0,6100.0,ДВС,5.4,В производстве,Radotec,,н/д,350.0
475,Япония,Вертолетный тип,50.0,,20.0,2500.0,ДВС,,Снято с производства,Fuji Heavy Industry,,н/д,100.0
476,Япония,Вертолетный тип,100.0,,120.0,3100.0,Газотурбинный,,В производстве,Fuji Heavy Industry,,н/д,140.0
477,Австралия,Самолетный тип,55.0,,100.0,7600.0,ДВС,2.0,В производстве,Air Affairs,,н/д,555.0
478,Япония,Самолетный тип,120.0,,250.0,12000.0,Газотурбинный,1.18,Снято с производства,Fuji Heavy Industry,,н/д,750.0
479,Аргентина,Самолетный тип,,1.0,150.0,7100.0,Газотурбинный,1.5,В производстве,Aerodreams,20.0,н/д,650.0
480,Австралия,Самолетный тип,20.0,10.0,250.0,5100.0,ДВС,4.0,В производстве,Silvertone,10.0,н/д,145.0
481,Австралия,Самолетный тип,33.0,,300.0,5000.0,Газотурбинный,2.8,В производстве,Thales Group,,н/д,400.0
482,Аргентина,Самолетный тип,70.0,4.5,200.0,5100.0,ДВС,3.0,Снято с производства,Aerodreams,,н/д,150.0
483,Австралия,Самолетный тип,25.0,1.0,25.0,3500.0,ДВС,2.36,В производстве,специалисты и инженеры Сиднейского университета,,н/д,80.0
484,Аргентина,Самолетный тип,120.0,0.67,120.0,9000.0,Газотурбинный,3.3,Снято с производства,Quimar,,н/д,700.0
485,Аргентина,Самолетный тип,150.0,1.33,250.0,9100.0,Газотурбинный,1.6,Снято с производства,Quimar,,н/д,920.0
486,Армения,Самолетный тип,50.0,,320.0,4500.0,ДВС,2.62,В производстве,Специалисты ВВС,,н/д,130.0
487,Бельгия,Самолетный тип,2.0,0.75,20.0,750.0,Электрический,1.0,В производстве,Getewing,,н/д,90.0
488,Хорватия,Самолетный тип,200.0,10.0,200.0,4100.0,ДВС,6.0,В производстве,Soko ZI,,н/д,120.0
489,Болгария,Самолетный тип,62.5,,15.0,2200.0,ДВС,3.52,Снято с производства,Авиатехника,5.0,н/д,190.0
490,Великобритания,Коптерный тип,80.0,,25.0,3100.0,ДВС,,Снято с производства,Aesir,,н/д,80.0
491,Великобритания,Самолетный тип,,,21300.0,7100.0,Электрический,28.0,Снято с производства,Airbus,,н/д,100.0
492,Великобритания,Вертолетный тип,4.8,0.5,10.0,2100.0,Электрический,,В производстве,advanced UAV Technology,,н/д,70.0
493,Великобритания,Вертолетный тип,12.5,,25.0,2100.0,Электрический,,В производстве,advanced UAV Technology,5.5,н/д,80.0
494,Великобритания,Вертолетный тип,7.0,2.5,15.0,2100.0,Электрический,,В производстве,advanced UAV Technology,,н/д,80.0
495,Великобритания,Вертолетный тип,16.0,2.0,25.0,2100.0,Электрический,,В производстве,advanced UAV Technology,,н/д,120.0
496,Великобритания,Вертолетный тип,25.0,6.0,20.0,2100.0,Электрический,,В производстве,advanced UAV Technology,,н/д,160.0
497,США,Коптерный тип,1.68,0.36,3.0,500.0,Электрический,,В производстве,3D Robotics,,н/д,60.0
498,США,Коптерный тип,1.8,,0.8,122.0,Электрический,,В производстве,н/д,,н/д,89.0
499,США,Самолетный тип,212.0,,125.0,3660.0,Газотурбинный,4.2,В производстве,AAI Corporation,,н/д,175.0
500,США,Самолетный тип,300.0,,50.0,9500.0,Газотурбинный,18.0,Снято с производства,Advanced Soaring Concepts,,н/д,120.0
501,США,Коптерный тип,,,250.0,5100.0,ДВС,,Снято с производства,Advanced Tactics,,н/д,230.0
502,США,Коптерный тип,,0.5,10.0,350.0,Электрический,,"В производстве, В разработке",Advanced Tactics,,н/д,90.0
503,США,Коптерный тип,,0.67,50.0,350.0,ДВС,,В разработке,Advanced Tactics,,н/д,90.0
504,США,Самолетный тип,605.0,0.75,185.0,6100.0,ДВС,4.06,Снято с производства,н/д,,н/д,540.0
505,СССР,Самолетный тип,5370.0,,1000.0,6000.0,Газотурбинный,3.88,Снято с производства,ОКБ Туполева,,н/д,1110.0
506,СССР,Самолетный тип,1230.0,0.22,180.0,1000.0,Газотурбинный,2.24,Снято с производства,ОКБ Туполева,,н/д,950.0
507,СССР,Самолетный тип,1400.0,,360.0,5000.0,Газотурбинный,2.25,Снято с производства,ОКБ Туполева,,н/д,940.0
508,СССР,Самолетный тип,380.0,8.0,80.0,3500.0,ДВС,5.9,Снято с производства,Андреев (Ариез),,–40°С..+50°С,150.0
509,США,Коптерный тип,,,5.0,250.0,Электрический,,В производстве,н/д,,н/д,45.0
510,США,Коптерный тип,2.5,0.67,3.0,150.0,Электрический,,В производстве,AeroVironment,,н/д,60.0
511,США,Самолетный тип,5.0,0.75,40.0,2100.0,Электрический,1.0,В производстве,AeroVironment,,н/д,70.0
512,США,Самолетный тип,150.0,1.5,20.0,3100.0,ДВС,1.2,Снято с производства,AeroVironment,23.0,н/д,50.0
513,Россия,Самолетный тип,21.0,8.0,600.0,3000.0,ДВС,3.13,В производстве,АФМ-Сервис,5.0,−30°C..+40 °C,115.0
514,США,Коптерный тип,5.0,120.0,0.045,45.0,Электрический,,В производстве,AeroVironment,,н/д,10.0
515,США,Самолетный тип,150.0,,50.0,5000.0,ДВС,4.84,В производстве,Aero Telemetry,,н/д,180.0
516,Россия,Самолетный тип,2000.0,24.0,6500.0,19000.0,Газотурбинный,35.0,В производстве,ОКБ «Сухой»,1500.0,н/д,750.0
517,США,Самолетный тип,,,,,ДВС,6.66,В производстве,Aero Telemetry,,н/д,
518,Россия,Вертолетный тип,37.0,1.5,18.0,1000.0,ДВС,,В производстве,НПП Радар-ММС,,н/д,80.0
519,Россия,Вертолетный тип,500.0,8.0,500.0,4000.0,ДВС,,В производстве,НПП Радар-ММС,,н/д,200.0
520,Россия,Самолетный тип,11.3,2.5,40.0,3000.0,Электрический,1.82,В производстве,Рекорд-Электроникс,1.3,н/д,100.0
521,США,Самолетный тип,120.0,,35.0,2100.0,ДВС,16.5,В производстве,Aero Telemetry,,н/д,180.0
522,США,Коптерный тип,3.3,0.83,2.0,150.0,Электрический,,Снято с производства,Amazon,,н/д,65.0
523,Россия,Самолетный тип,30.0,12.0,1200.0,3100.0,Электрический,3.5,В производстве,Завант,,н/д,180.0
524,США,Самолетный тип,1020.0,4.0,300.0,6100.0,Газотурбинный,5.34,Снято с производства,American Dynamics,,н/д,520.0
525,Россия,Вертолетный тип,40.0,4.0,40.0,2100.0,ДВС,,В производстве,КБ «Искатель»,,н/д,70.0
526,Россия,Вертолетный тип,120.0,2.5,200.0,3100.0,ДВС,,В производстве,Московский авиационный институт,30.0,н/д,120.0
527,Россия,Самолетный тип,50.0,12.0,50.0,5000.0,ДВС,2.8,В производстве,Автономные аэрокосмические системы — ГеоСервис,25.0,–35°С..+45°С,140.0
528,Россия,Коптерный тип,5.55,1.5,40.0,1200.0,Электрический,,В производстве,ЮВС Авиа,1.0,–40°С..+50°С,54.0
529,Россия,Самолетный тип,12.0,5.0,400.0,3100.0,ДВС,3.4,Снято с производства,Аэрокон,1.0,−30°C.. +50°C,100.0
530,Россия,Самолетный тип,1900.0,26.0,240.0,6000.0,ДВС,13.42,Снято с производства,Иркут,250.0,н/д,287.0
531,Россия,Вертолетный тип,300.0,,100.0,3000.0,ДВС,,В производстве,ОКБ Камова,,н/д,150.0
532,США,Самолетный тип,72.0,6.0,100.0,4100.0,Электрический,4.3,В производстве,L-3 Unmanned Systems,,н/д,100.0
533,США,Самолетный тип,283.0,,720.0,5000.0,ДВС,6.7,В производстве,Департамент энергетики США,,–40°С..+40°С,230.0
534,США,Самолетный тип,23.0,8.0,42.0,4100.0,ДВС,3.05,В производстве,Arcturus UAV,,н/д,167.0
535,США,Самолетный тип,38.6,,50.0,4100.0,ДВС,3.94,В производстве,Arcturus UAV,,н/д,175.0
536,США,Самолетный тип,180.0,,1500.0,8000.0,Электрический,,В производстве,World Surveillance Group Inc,13000.0,н/д,100.0
537,США,Вертолетный тип,2.0,0.75,5.0,500.0,Электрический,,В производстве,Ascent AeroSystems,,н/д,50.0
538,США,Самолетный тип,40.0,4.0,35.0,3000.0,ДВС,,Снято с производства,н/д,,н/д,70.0
539,США,Самолетный тип,,0.33,250.0,9100.0,Газотурбинный,1.14,Снято с производства,Alliant Techsystems,,н/д,1120.0
540,США,Самолетный тип,150.0,,100.0,9000.0,Газотурбинный,,Снято с производства,Martin Marietta,,н/д,
541,США,Коптерный тип,65.0,,5.0,3100.0,Газотурбинный,,В производстве,Aurora Flight Sciences,,н/д,60.0
542,США,Самолетный тип,5000.0,37.0,3200.0,10200.0,ДВС,40.0,Снято с производства,Aurora Flight Sciences,,н/д,120.0
543,США,Самолетный тип,2500.0,4.0,750.0,5100.0,Газотурбинный,,В производстве,Aurora Flight Sciences,,н/д,
544,США,Вертолетный тип,7.0,2.0,15.0,1500.0,ДВС,,В производстве,AutoCopter Corporation,,н/д,60.0
545,США,Самолетный тип,59.0,,200.0,4600.0,ДВС,4.27,В производстве,BAI Aerosystems,,н/д,125.0
546,США,Самолетный тип,14630.0,,22780.0,18300.0,Газотурбинный,39.9,В производстве,Northrop Grumman,,н/д,850.0
547,США,Самолетный тип,45.0,24.0,250.0,4100.0,ДВС,3.9,В производстве,MLB Co,,н/д,120.0
548,США,Самолетный тип,280.0,,180.0,30000.0,Газотурбинный,1.0,В производстве,Beechcraft,,н/д,4500.0
549,США,Самолетный тип,300.0,1.0,400.0,13100.0,ДВС,3.95,Снято с производства,Beechcraft,,н/д,560.0
550,США,Самолетный тип,,,500.0,5100.0,Газотурбинный,,В производстве,Bell Helicopter,,н/д,420.0
551,Россия,Самолетный тип,20.0,8.0,800.0,3000.0,ДВС,1.3,В производстве,АФМ-Сервис,5.0,−30°C..+40 °C,125.0
552,Россия,Самолетный тип,6.0,1.0,15.0,3000.0,Электрический,1.8,Снято с производства,НТЦ «Рисса»,,н/д,100.0
553,Россия,Самолетный тип,30.0,12.0,200.0,3100.0,ДВС,3.52,В производстве,Aerob,30.0,–40°С..+50°С,150.0
554,Россия,Коптерный тип,3.0,0.67,2.5,300.0,Электрический,,В производстве,Промтехнология,1.0,н/д,35.0
555,Россия,Коптерный тип,6.5,0.67,3.0,300.0,Электрический,,В производстве,Промтехнология,3.0,н/д,40.0
556,США,Коптерный тип,0.085,0.5,17.0,240.0,Электрический,0.15,Снято с производства,"AeroVironment, DARPA",,н/д,53.0
557,Россия,Коптерный тип,7.0,4.0,120.0,2000.0,Электрический,,В производстве,Аэроксо,1.5,н/д,120.0
558,США,Самолетный тип,760.0,,1000.0,12000.0,Электрический,,В производстве,World Surveillance Group Inc,,н/д,180.0
559,США,Самолетный тип,9070.0,80.0,500.0,20500.0,ДВС,61.0,Снято с производства,Boeing,,н/д,260.0
560,Канада,Вертолетный тип,80.0,0.3,15.0,2600.0,ДВС,,В производстве,Aethon Technologies,31.5,н/д,80.0
561,США,Самолетный тип,127.0,,800.0,3100.0,ДВС,2.57,Снято с производства,Boeing,,н/д,320.0
562,СССР,Самолетный тип,4650.0,0.92,,13000.0,Газотурбинный,10.08,Снято с производства,МиГ,,н/д,950.0
563,США,Самолетный тип,27.0,,50.0,4100.0,ДВС,3.7,В разработке,Boeing,,н/д,160.0
564,США,Самолетный тип,,3.0,120.0,15300.0,Газотурбинный,3.3,В производстве,Boeing,,н/д,1050.0
565,США,Вертолетный тип,30.0,10.0,8.0,250.0,ДВС,,В производстве,Drone Aviation Corp,,н/д,120.0
566,Канада,Вертолетный тип,17.2,144.0,,1000.0,Электрический,,В производстве,Aethon Technologies,4.6,н/д,83.0
567,Россия,Коптерный тип,1.5,1.5,2.5,500.0,Электрический,,В производстве,МИИГАИК,0.7,–20°С..+30°С,40.0
568,США,Самолетный тип,43.0,,50.0,3000.0,ДВС,2.5,В производстве,BAI Aerosystems,,н/д,130.0
569,Россия,Коптерный тип,7.5,,10.0,1000.0,Электрический,,В производстве,МИИГАИК,,н/д,40.0
570,США,Самолетный тип,5.4,4.0,37.0,4200.0,ДВС,1.22,В производстве,Mission Technologies,,н/д,115.0
571,Канада,Вертолетный тип,340.0,8.0,200.0,5485.0,Газотурбинный,,В разработке,Bombardier,68.0,н/д,222.0
572,Россия,Самолетный тип,2.5,1.0,15.0,2100.0,Электрический,,Снято с производства,"НПЦ ""НЕЛК""",,н/д,120.0
573,США,Самолетный тип,,0.67,5.0,350.0,Электрический,,В производстве,Challenger Aerospace Group,,н/д,90.0
574,Россия,Коптерный тип,5.0,,2.5,350.0,Электрический,,Снято с производства,"НПЦ ""НЕЛК""",,н/д,35.0
575,Россия,Самолетный тип,6.0,1.5,100.0,,Электрический,,В разработке,Агентство Стратегических Инициатив и Сколково,2.0,-25..+40,110.0
576,Канада,Самолетный тип,1.16,1.0,15.0,4500.0,Электрический,0.75,В разработке,Prioria Robotics Inc.,,н/д,52.0
577,США,Самолетный тип,3.0,0.33,10.0,4100.0,ДВС,2.44,В производстве,Pentagon Performance Inc,,н/д,80.0
578,Россия,Самолетный тип,200.0,10.0,120.0,5100.0,ДВС,6.5,В производстве,"КБ ""ЛУЧ""",,н/д,150.0
